time, CO2, tvoc, pm2.5, pm10, temp, hum
18:56:22,0,1,27,31,19,44
18:56:26,10000,1,26,29,19,44
18:56:31,10000,1,24,27,18,44
18:56:36,1281,1,21,21,18,44
18:56:41,1271,1,24,26,18,44
18:56:45,1273,1,26,30,18,44
18:56:50,1259,1,33,39,18,45
18:56:55,1244,1,36,43,18,45
18:57:00,1216,1,35,44,18,44
18:57:04,1216,1,36,43,18,44
18:57:09,1228,1,36,41,18,44
18:57:14,1237,1,34,38,18,44
18:57:18,1266,1,31,34,18,44
18:57:23,1264,1,33,37,18,45
18:57:28,1266,1,32,36,18,44
18:57:32,1262,1,32,36,18,45
18:57:37,1263,1,33,36,18,45
18:57:42,1278,1,32,36,18,44
18:57:47,1302,1,35,39,18,44
18:57:51,1359,1,35,39,18,45
18:57:56,1414,1,33,39,18,45
18:58:01,1461,1,35,44,18,45
18:58:06,1472,1,36,43,18,45
18:58:10,1472,1,36,43,18,45
18:58:15,1455,1,34,38,18,45
18:58:20,1456,1,33,37,18,45
18:58:24,1431,1,35,41,18,45
18:58:29,1405,1,34,40,18,45
18:58:33,1362,1,34,42,18,45
18:58:38,1345,1,35,44,18,45
18:58:43,1346,1,32,40,18,45
18:58:47,1341,1,33,39,18,45
18:58:52,1351,1,32,38,18,45
18:58:56,1364,1,33,39,18,45
18:59:01,1364,1,34,43,18,45
18:59:06,1383,1,33,40,18,45
18:59:10,1376,1,32,38,18,45
18:59:15,1352,1,31,38,18,45
18:59:20,1322,1,31,37,18,45
18:59:24,1304,1,32,40,18,45
18:59:29,1297,1,31,38,18,45
18:59:33,1297,1,31,38,18,45
18:59:38,1298,1,32,39,18,45
18:59:42,1300,1,31,37,18,45
18:59:47,1302,1,31,37,18,45
18:59:52,1302,1,31,36,18,44
18:59:56,1302,1,32,38,18,45
19:00:01,1301,1,32,36,18,45
19:00:06,1301,1,33,40,18,45
19:00:10,1302,1,34,41,18,45
19:00:15,1303,1,33,42,18,45
19:00:19,1305,1,31,39,18,45
19:00:24,1307,1,31,36,18,45
19:00:29,1308,1,29,35,18,44
19:00:33,1310,1,30,35,18,44
19:00:38,1311,1,29,34,18,44
19:00:42,1313,1,32,38,18,44
19:00:47,1313,1,34,38,18,45
19:00:52,1314,1,32,37,18,45
19:00:57,1314,1,33,40,18,45
19:01:02,1314,1,34,38,18,45
19:01:06,1314,1,32,37,18,45
19:01:11,1314,1,33,39,18,45
19:01:15,1314,1,32,39,18,45
19:01:20,1315,1,32,37,18,45
19:01:25,1317,1,30,35,18,45
19:01:29,1318,1,33,37,18,45
19:01:34,1319,1,32,36,18,45
19:01:39,1318,1,32,36,18,45
19:01:43,1318,1,32,36,18,45
19:01:48,1318,1,31,36,18,45
19:01:53,1318,1,33,38,18,45
19:01:57,1319,1,32,36,18,45
19:02:02,1320,1,33,37,18,45
19:02:07,1322,1,33,38,18,45
19:02:11,1323,1,32,36,18,45
19:02:16,1326,1,32,37,18,45
19:02:20,1328,1,33,41,18,45
19:02:25,1330,1,31,39,18,45
