time, co2, tvoc, pm2.5, pm10, temp, hum
18:03:09,0,1,3,3,20,41
18:03:14,10000,1,3,3,20,41
18:03:19,10000,1,3,3,20,40
18:03:23,2022,1,4,4,20,39
18:03:28,1367,1,5,5,20,39
18:03:32,1353,1,4,4,20,39
18:03:37,1351,1,4,4,20,40
18:03:41,1289,1,5,5,20,39
18:03:46,1240,1,4,4,20,39
18:03:50,1240,1,4,4,20,40
18:03:55,1191,1,4,4,20,40
18:03:59,1184,1,5,5,20,40
18:04:03,1176,1,4,4,20,40
18:04:08,1172,1,3,3,20,40
18:04:12,1194,1,4,4,20,39
18:04:17,1210,1,4,4,20,39
18:04:21,1262,1,4,4,20,39
18:04:26,1262,1,4,4,20,39
18:04:30,1256,1,4,4,20,38
18:04:35,1270,1,4,4,20,38
18:04:39,1244,1,4,4,20,38
18:04:44,1258,1,3,3,20,38
18:04:48,1250,1,4,4,20,38
18:04:53,1243,1,4,4,20,38
18:04:57,1216,1,4,4,20,39
18:05:34,0,1,2,2,20,39
18:05:39,10000,1,2,2,20,39
18:05:43,10000,1,3,3,20,38
18:05:48,1560,1,3,3,20,38
18:05:53,1176,1,3,3,20,38
18:05:57,1165,1,3,3,20,38
18:06:02,1165,1,3,3,20,38
18:06:06,1254,1,3,3,20,39
18:06:11,1344,1,3,3,20,39
18:06:15,1355,1,3,3,20,41
18:06:20,1341,1,3,3,20,42
18:06:24,1326,1,3,3,20,40
18:06:29,1310,1,4,4,20,39
18:06:33,1266,1,4,4,20,39
18:06:38,1221,1,4,4,20,39
18:06:42,1221,1,4,4,20,39
18:06:47,1207,1,4,4,20,39
18:06:51,1314,1,5,7,20,39
18:06:56,1432,1,5,7,20,40
18:07:00,1530,1,5,8,20,39
18:07:05,1433,1,5,8,20,39
18:07:09,1332,1,6,8,20,39
18:07:14,1241,1,7,9,20,39
18:07:18,1233,1,8,8,20,39
18:07:23,1233,1,7,7,20,39
18:07:27,1206,1,5,5,20,39
18:07:31,1180,1,6,6,20,39
18:07:36,1207,1,6,6,20,39
18:07:41,1275,1,7,7,20,39
18:07:45,1343,1,5,5,20,39
18:07:49,1370,1,5,5,20,39
18:07:54,1299,1,5,5,20,39
